.0ð5,-0.03,1.00
~#5,12605,0.00,-0.82,-0.03,1.00
~#4,12606,0.00,-0.71,-0.03,1.00
~#4,12607,0.00,-0.83,-0.03,1.00
~#4,12608,0.00,-0.80,-0.03,1.00
~#5,12609,0.00,-0.76,-0.03,1.00
~#4,12610,0.00,-0.72,-0.03,1.00
~#5,12611,0.00,-0.83,-0.03,1.00
~#5,12612,0.00,-0.94,-0.03,1.01
~#6,12613,0.00,-0.77,-0.03,0.98
~#5,12614,0.00,-0.95,-0.03,1.00
~#4,12615,0.00,-0.61,-0.03,1.00
~#4,12616,0.00,-0.64,-0.03,1.00
~#4,12617,0.00,-0.68,-0.03,1.00
~#5,12618,0.00,-0.84,-0.03,1.00
~#5,12619,0.00,-0.82,-0.03,1.00
~#5,12620,0.10,-0.75,-0.03,1.00
~#5,12621,0.10,-0.81,-0.02,1.00
~#7,12622,0.00,-0.71,-0.03,1.00
~#8,12623,0.00,-0.75,-0.03,1.00
~#7,12624,0.10,-0.72,-0.03,1.00
~#8,12625,0.10,-0.66,-0.03,1.00
~#6,12626,0.10,-0.67,-0.03,1.00
~#5,12627,0.10,-0.92,-0.03,1.00
~#6,12628,0.00,-0.88,-0.03,1.00
~#5,12629,0.10,-0.88,-0.03,1.00
~#6,12630,0.10,-0.70,-0.03,1.00
~#<,12631,0.10,-0.69,-0.03,1.00
~#5,12632,0.10,-0.64,-0.03,1.00
~#8,12633,0.00,-0.75,-0.03,1.00
~#7,12634,0.10,-0.79,-0.03,1.00
~#8,12635,0.10,-0.55,-0.03,1.00
~#:,12636,0.10,-1.35,-0.02,0.98
~#8,12637,0.10,-0.73,-0.03,0.99
~#7,12638,0.00,-0.90,-0.03,1.01
~#4,12639,0.00,-0.08,-0.03,1.00
~"5,12640,0.00,7.64,-0.03,0.99
~"3,12641,0.00,0.64,-0.04,1.00
&~"2,12642,0.00,0.77,-0.03,1.01
"~#0,12643,0.11,-1.14,-0.03,1.00
~#0,12644,0.10,-1.62,-0.03,0.99
~$1,12645,0.14,-12.07,-0.03,1.02
~#2,12646,0.10,29.74,-0.04,1.02
~#3,12647,0.10,21.10,-0.03,1.03
~#2,12648,0.10,-1.98,-0.02,1.00
~#2,12649,0.00,-8.59,-0.02,1.03
~$2,12650,0.00,-37.08,-0.03,1.04
~#2,12651,0.28,14.59,-0.03,0.99
~"2,12652,0.12,1.24,-0.03,1.05
!~#1,12653,0.11,-4.70,-0.03,1.00
~#0,12654,0.11,15.33,-0.02,0.99
~#0,12655,0.00,19.28,-0.03,1.01
~$0,12656,0.00,-45.21,-0.04,1.00
~#0,12657,0.51,-4.22,-0.03,0.97
~"0,12658,0.33,0.07,-0.03,1.01
~"/,12659,0.27,3.19,-0.03,1.00
~"/,12660,0.10,3.33,-0.03,1.01
)~#/,12661,0.10,34.43,-0.01,1.10
~#/,12662,0.10,33.38,-0.02,1.05
~$/,12663,0.10,-14.40,-0.03,1.02
~#/,12664,0.11,-8.49,-0.03,1.00
~"/,12665,0.10,6.70,-0.03,1.00
!~#.,12666,0.10,-5.75,-0.02,1.04
~$-,12667,0.11,-21.26,-0.04,1.01
~$.,12668,0.00,-40.75,-0.04,0.97
~$,,12669,0.10,-29.31,-0.02,0.89
~#,,12670,0.00,20.42,-0.03,0.99
~#,,12671,0.00,-8.00,-0.03,0.99
~".,12672,0.00,0.49,-0.03,1.00
%~#.,12673,0.00,-0.42,-0.03,1.01
~#.,12674,0.00,-0.60,-0.03,0.99
~#.,12675,0.00,-0.69,-0.03,1.00
~#/,12676,0.00,-0.66,-0.03,1.00
~#/,12677,0.00,-1.07,-0.03,0.99
~"/,12678,0.10,3.65,-0.01,1.04
~"0,12679,0.10,3.65,-0.03,0.95
~#/,12680,0.12,59.58,-0.03,1.02
~#/,12681,0.13,36.89,-0.04,1.01
~#/,12682,0.12,-7.35,-0.07,0.98
~#.,12683,0.12,40.08,-0.01,1.01
~#,,12684,0.00,17.78,-0.05,0.96
~$.,12685,0.00,-44.08,-0.04,1.02
~$2,12686,0.00,-61.44,-0.06,0.93
~%2,12687,0.00,-146.49,-0.02,0.85
x~$.,12688,0.00,-71.47,-0.04,0.89
~#,,12689,0.00,28.42,-0.02,0.93
~",,12690,0.00,2.93,-0.01,0.98
~".,12691,0.00,8.91,-0.02,0.96
~#/,12692,0.00,-0.04,-0.04,0.94
~#/,12693,0.00,-8.49,-0.02,0.94
~"/,12694,0.00,7.28,-0.04,0.91
~#/,12695,0.00,34.44,-0.03,0.87
~"2,12696,0.00,57.99,0.08,0.82
~#3,12697,0.00,-22.83,0.03,1.00
~"4,12698,0.00,13.31,0.01,1.00
~"3,12699,0.00,26.65,0.03,0.98
~"3,12700,0.00,36.94,0.03,0.99
~"3,12701,0.00,35.18,0.06,0.97
~#5,12702,0.00,-40.99,0.10,1.18
~#3,12703,0.00,-34.54,0.02,1.01
~$2,12704,0.00,-68.24,-0.01,0.98
~#2,12705,0.00,-54.99,0.03,0.93
~#0,12706,0.00,-23.43,0.00,0.91
~"2,12707,0.00,34.84,0.01,0.92
}1~"2,12708,0.00,95.54,0.01,0.94

~"4,12709,0.00,65.83,0.03,1.00
~"4,12710,0.00,-7.72,0.02,1.01
#~!3,12711,0.00,7.03,0.03,1.00
V~!3,12712,0.00,8.17,0.03,0.99
>~"4,12713,0.00,-0.01,0.03,0.99
~!4,12714,0.00,4.85,0.02,1.00
L~"4,12715,0.00,-1.19,0.02,1.00
$~!4,12716,0.00,1.19,0.02,1.00
P~"4,12717,0.00,-1.44,0.02,1.00
$~!4,12718,0.00,0.07,0.02,1.00
R~"5,12719,0.00,-1.70,0.02,1.00
"~"5,12720,0.00,-0.11,0.02,1.00
0~"4,12721,0.00,-1.88,0.02,1.00
